date	STCK
09/08/2018 00:00	185.91
10/08/2018 00:00	182.09
13/08/2018 00:00	180
14/08/2018 00:00	180.67
15/08/2018 00:00	179.17
16/08/2018 00:00	180.2
17/08/2018 00:00	174.5
20/08/2018 00:00	174.09
21/08/2018 00:00	172.81
22/08/2018 00:00	172.2
23/08/2018 00:00	173.09
24/08/2018 00:00	173.6
27/08/2018 00:00	176
28/08/2018 00:00	178.07
29/08/2018 00:00	176.1
30/08/2018 00:00	175.9
31/08/2018 00:00	177.14
04/09/2018 00:00	173.5
05/09/2018 00:00	168.85
06/09/2018 00:00	166.74
07/09/2018 00:00	160.25
10/09/2018 00:00	163.46
11/09/2018 00:00	163.94
12/09/2018 00:00	163.25
13/09/2018 00:00	162
14/09/2018 00:00	161.75
17/09/2018 00:00	161.81
18/09/2018 00:00	159.32
19/09/2018 00:00	160.03
20/09/2018 00:00	164.66
21/09/2018 00:00	166.89
24/09/2018 00:00	161
25/09/2018 00:00	161.91
26/09/2018 00:00	164.29
27/09/2018 00:00	167.21
28/09/2018 00:00	168.17
01/10/2018 00:00	163.02
02/10/2018 00:00	161.53
03/10/2018 00:00	160
04/10/2018 00:00	161.31
05/10/2018 00:00	159.21
08/10/2018 00:00	155.53
09/10/2018 00:00	157.59
10/10/2018 00:00	157.12
11/10/2018 00:00	150
12/10/2018 00:00	100
15/10/2018 00:00	153.32
16/10/2018 00:00	155.29
17/10/2018 00:00	159.46
18/10/2018 00:00	158.51
19/10/2018 00:00	155.87
22/10/2018 00:00	154.76
23/10/2018 00:00	151.25
24/10/2018 00:00	154.28
25/10/2018 00:00	147.41
26/10/2018 00:00	145.52
29/10/2018 00:00	148.39
30/10/2018 00:00	140.26
31/10/2018 00:00	155
01/11/2018 00:00	151.52
02/11/2018 00:00	151.78
05/11/2018 00:00	150.1
06/11/2018 00:00	149.45
07/11/2018 00:00	151.57
08/11/2018 00:00	150.43
09/11/2018 00:00	146.53
12/11/2018 00:00	144.48
13/11/2018 00:00	141.83
